City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
377,Nouakchott,MR,18.0858,-15.9785,78.73,82,30,12.17,scattered clouds
378,Graaff-Reinet,ZA,-32.2522,24.5308,55.92,60,95,5.32,overcast clouds
379,Rio Grande,BR,-32.035,-52.0986,59.11,60,99,15.5,overcast clouds
380,Nhulunbuy,AU,-12.2333,136.7667,77.61,94,40,4.61,scattered clouds
381,Peniche,PT,39.3558,-9.3811,83.68,91,70,5.68,broken clouds
382,Manokwari,ID,-0.8667,134.0833,75.94,83,100,4.25,overcast clouds
383,Asahi,JP,35.7167,140.65,73.2,85,100,4.56,overcast clouds
384,Silifke,TR,36.3778,33.9344,70.41,80,0,6.6,clear sky
385,Notse,TG,6.95,1.1667,85.3,60,82,5.7,light rain
386,Havre-Saint-Pierre,CA,50.2334,-63.5986,57.56,88,90,9.22,overcast clouds
387,Dunedin,NZ,-45.8742,170.5036,50.81,96,100,9.53,overcast clouds
388,Sola,VU,-13.8833,167.55,80.65,78,74,13.27,broken clouds
389,Providencia,MX,28.7167,-111.5833,100.2,31,24,8.01,few clouds
390,Pulandian,CN,39.3953,121.9669,66.33,96,59,4.38,broken clouds
391,Broome,US,42.2506,-75.833,64.65,88,90,9.22,overcast clouds
