City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
514,Tulagi,SB,82.9,few clouds,-9.0996,160.1476,Raiders Hotel & Dive
520,Isangel,VU,81.05,scattered clouds,-19.55,169.2667,Tanna Lodge
523,Keti Bandar,PK,83.48,overcast clouds,24.1447,67.4497,Haji laloo memon house
529,Baghdad,IQ,84.11,clear sky,33.3406,44.4009,Baghdad Hotel
531,Puqi,CN,87.22,overcast clouds,29.7167,113.8833,Ramada Plaza Chibi
533,Marawi,PH,75.65,broken clouds,7.9986,124.2928,Derogongan Residence
534,Mogadishu,SO,78.13,overcast clouds,2.0371,45.3438,Hotel Juba
537,Isla Mujeres,MX,80.65,overcast clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
538,Mayo,US,77.11,clear sky,38.8876,-76.5119,Resorts Resource Group International
541,Stabat,ID,79.0,overcast clouds,3.761,98.4513,Link VII damai
542,Half Moon Bay,US,88.12,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
543,Port Blair,IN,82.63,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
544,Innisfail,AU,84.87,broken clouds,-17.5333,146.0333,Moondarra Motel
546,Gamba,GA,76.06,overcast clouds,-2.65,10.0,Moondarra Motel
549,Ewa Beach,US,87.75,scattered clouds,21.3156,-158.0072,Uncle Junior Robert
552,Thaton,MM,75.81,moderate rain,16.9206,97.3714,Tain Pyar Guest House
555,College,US,83.59,few clouds,64.8569,-147.8028,Pike's Waterfront Lodge
556,Creston,US,88.45,clear sky,41.0586,-94.3614,Supertel Inn & Conference Center
558,Gohand,IN,85.35,scattered clouds,25.7,79.55,Krishan Kant New Pulaw&Chhole Bhatole
560,Hoa Binh,VN,84.09,broken clouds,20.8133,105.3383,Hoa Dao Hotel
562,Kochi,IN,76.98,overcast clouds,9.9399,76.2602,Hotel Abad
563,Limbang,MY,82.71,overcast clouds,4.75,115.0,Purnama Hotel
